"Environment, Transport, Culture and the Gaeltacht","An Comhchoiste um Chomhshaol, Cultúr Iompair, agus na Gaeltachta","This Committee has an extremely broad remit and evaluates and makes recommendations on a wide range of issues from regional development to environmental protection.","Tá an Coiste seo le sainchúram an-leathan agus measúnú agus déanann sé moltaí maidir le raon leathan saincheisteanna ó fhorbairt réigiúnach le cosaint an chomhshaoil."
"European Union Affairs","An Comhchoiste um Ghnóthaí an Aontais Eorpaigh","Responsible for scrutinizing EU initiatives and how they affect on Ireland. The Committee also monitors the political and strategic direction of the Union as a whole.","Freagrach as grinnscrúdú a tionscnaimh an AE agus conas a théann siad i gcion ar Éirinn. An Coiste monatóireacht ar an treo straitéiseach pholaitiúil agus de chuid an Aontais ina iomláine."
"Finance, Public Expenditure and Reform","Chomhchoiste um Airgeadas, Chaiteachais Phoiblí agus Athchóirithe","Considers the work of the Department of Finance and the Department of Public Expenditure & Reform.",
"European Scrutiny - Finance & Expenditure","Fhochoiste um Iniúchadh Eorpach - Airgeadas & Caiteachais","Considers all matters associated with the European Union.","Measann gach ní a bhaineann leis an Aontas Eorpach"
"Finance","Roghnaigh Fochoiste ar Airgeadas","Considers and reviews estimates and legislation from the Department of Finance","Measann agus athbhreithniú ar na meastacháin agus na reachtaíochta ón Roinn Airgeadais"
"Public Expenditure and Reform","Roghnaigh fo-Choiste um Chaiteachas Poiblí agus Athchóirithe","Considers and reviews estimates and legislation from the Department of Public Expenditure & Reform","Measann agus athbhreithniú ar na meastacháin agus na reachtaíochta ón Roinn Chaiteachais Phoiblí agus Athchóirithe"
"The Department of the Taoiseach","Roghnaigh Fochoiste ar an Roinn an Taoisigh","Considers and reviews estimates and legislation from the Department of the Taoiseach","Measann agus athbhreithniú ar na meastacháin agus na reachtaíochta ón Roinn an Taoisigh"
"Foreign Affairs and Trade","An Comhchoiste um Ghnóthaí Eachtracha agus Trádála","Responsible for promoting Ireland’s foreign policy priorities which are among others a strong EU and the promotion of human rights. The Joint Committee also recommends ways to promote trade in new and existing markets and reports on ways to make Ireland a destination for foreign direct investment","Freagrach as cur chun cinn tosaíochtaí na hÉireann a mbeartas eachtrach a bhfuil i measc daoine eile ar an AE láidir agus a chur chun cinn ar chearta an duine. An Comhchoiste Molann freisin bealaí a chur chun cinn trádáil i margaí nua agus atá ann cheana "
"Health and Children","An Comhchoiste um Shláinte agus Leanaí","Responsible for the examination of current and proposed health policy. Reviews the overall planning of the healthcare system and how healthcare services are delivered in Ireland.","Freagrach as an scrúdú a dhéanamh ar pholasaí sláinte reatha agus molta. Léirmheasanna na pleanála iomlán an chórais sláinte agus conas seirbhísí sláinte a sheachadadh in Éirinn."
"Children and Youth Affairs","Roghnaigh fo-Choiste um Leanaí agus Gnóthaí Óige","Examines legislation and estimates from the Department of Children and Youth Affairs.","Scrúdaíonn reachtaíocht agus meastacháin ón Roinn Leanaí agus Gnóthaí Óige."
"Health","Roghnaigh fo-Choiste ar Shláinte","Examines legislation and estimates from the Department of Health","Scrúdaíonn reachtaíocht agus meastacháin ón Roinn Sláinte"
"Justice, Defence and Equality","An Comhchoiste um Dhlí agus Ceart, Comhionannas agus Cosanta","Facilitates inter-party communication in issues such as justice, security, immigation and defence and reviews legislation and policy in these areas. The Committee also examines areas of current interest in these areas and makes recommendations to Government.","Éascaíonn idir-pháirtí cumarsáide i saincheisteanna cosúil le ceartas, slándáil, immigation agus cosanta agus athbhreithnithe reachtaíocht agus beartais sna réimsí seo. Scrúdaíonn an Coiste freisin réimsí spéise atá ann faoi láthair sna réimsí seo agus dé"
"Penal Reform","Fochoiste ar Chórais Choiriúil Athchóirithe","Evaluates possible non-custodial alternatives to imprisonment.","Meastóireacht ar féidir neamh-choimeádta roghanna eile seachas príosúnacht."
"Social Protection and Education","An Comhchoiste um Chosaint Shóisialta agus Oideachas","Responsible for examining Government policy relating to both the Department of Education and the Department of Social Protection. Evaluates a broad range of legislation from the social welfare system to Ireland’s education system.","Freagrach as scrúdú a dhéanamh ar pholasaí an Rialtais a bhaineann leis an dá an Roinn Oideachais agus an Roinn Gnóthaí Sóisialacha agus Teaghlaigh. Meastóireacht ar raon leathan de reachtaíocht ón gcóras leasa shóisialaigh chun córas oideachais na hÉirea"
"Education and Skills","Fo-choiste um Oideachas agus Scileanna","Examines legislation and estimates from the Department of Education","Scrúdaíonn reachtaíocht agus meastacháin ón Roinn Oideachais"
"Social Protection","Fo-choiste ar Chosaint Shóisialta","Examines legislation and estimates from the Department of Social Protection","Scrúdaíonn reachtaíocht agus meastacháin ón Roinn Gnóthaí Sóisialacha agus Teaghlaigh"
"Jobs, Enterprise and Innovation","Chomhchoiste um Fhiontair Jobs, agus Nuálaíocht","Responsible for contributing to policy and legislation that is related to the creation and retention of jobs. Also considers innovative enterprise and explores creative solutions to unemployment and the economic recovery of the country.","Freagrach as cur le beartas agus reachtaíocht go bhfuil a bhaineann le cruthú agus coinneáil post. Chomh maith leis sin a mheasann fiontair nuálaíoch agus iniúchadh ar réitigh chruthaitheacha a dífhostaíochta agus an téarnamh eacnamaíoch na tíre."
"Transport and Communications","An Comhchoiste um Iompar agus Cumarsáid","Responsible for a broad range of issues relating to the Department of Transport, Tourism and Sport and the Department of Communications, Energy and Natural Resources and EU policy in these areas. The Committee considers a wide range of topics from renewable energy sources to the maintenance of the post office network.","Freagrach as raon leathan de cheisteanna a bhaineann leis an Roinn Turasóireachta Iompair, agus Spóirt agus an Roinn Cumarsáide, Fuinnimh agus Acmhainní Nádúrtha agus le beartas an AE sna réimsí seo. Measann an Coiste le réimse leathan ábhar ó fhoinsí fui"
