"-ine-collins";"AineCollins"
"joe-costello";"JoeCostelloLAB"
"joe-higgins";"JoeHiggins"
"joe-mchugh";"JoeMcHugh"
"joe-o-reilly";"JoeOReilly"
"john-browne";"JohnBrowne2"
"john-deasy";"JohnDeasyFG"
"john-halligan";"JohnHalligan"
"john-lyons";"JohnLyonsLab"
"john-mcguinness";"JohnMcGuinness"
"john-o-mahony";"JohnOMahony"
"john-paul-phelan";"JohnPaulPhelan"
"john-perry";"JohnPerry"
"jonathan-o-brien";"JonathanOBrien"
"kathleen-lynch";"KathleenLynch"
"kevin-humphreys";"KevinHumphreys"
"kieran-o-donnell";"KieranODonnell"
"leo-varadkar";
"liam-twomey";"LiamTwomeyIND"
"lucinda-creighton";
"luke-ming-flanagan";"LukeMingFlanagan"
"marcella-corcoran-kennedy";"MarcellaCorcoranKennedy"
"martin-ferris";"MartinFerrisSF"
"martin-heydon";"MartinHeydon"
"mary-lou-mcdonald";"MaryLouMcDonald"
"mary-mitchell-o-connor";"MaryMitchellOConnor"
"mattie-mcgrath";"MattieMcGrath"
"maureen-o-sullivan";"MaureenOSullivan"
"michael-colreavy";"MichaelColreavy"
"michael-conaghan";"MichaelConaghan"
"michael-creed";"MichaelCreed"
"michael-healy-rae";"MichaelHealyRae"
"michael-lowry";"MichaelLowry"
"michael-mccarthy";"MichaelMcCarthy"
"michael-mcgrath";"MichaelMcGrath"
"michael-mcnamara";"MichaelMcNamara"
"michael-moynihan";"MichaelMoynihan"
"michael-noonen";"MichaelNoonan"
"michael-p-kitt";"MichaelKitt"
"michael-ring";"MichaelRing"
"micheal-martin";"MichaelMartin"
"michelle-mulherin";"MichelleMulherin"
"mick-wallace";"MickWallace"
"niall-collins";"NiallCollins"
"nicky-mcfadden";"NickyMcFadden"
"noel-coonan";"NoelCoonan"
"noel-grealish";"NoelGrealishPD"
"noel-harrington";"NoelHarrington"
"olivia-mitchell";"OliviaMitchell"
"padraig-maclochlainn";"PadraigMacLochlainn"
"paschal-donohoe";"PaschalDonohoe"
"pat-breen";"PatBreen"
"pat-deering";"PatrickDeering"
"pat-rabbitte";"PatRabbitte"
"patrick-nulty";"PatrickNulty"
"patrick-o-donovan";"PatrickODonovan"
"paudie-coffey";"PaudieCoffey"
"paul-connaughton";"PaulConnaughtonJnr"
"paul-kehoe";"PaulKehoeFG"
"peadar-t-ib-n";"PeadarToibin"
"pearse-doherty";"PearseDoherty"
"peter-fitzpatrick";"PeterFitzpatrick"
"peter-mathews";"PeterMathews"
"phil-hogan";"PhilipHogan"
"ray-butler";"RayButler"
"regina-doherty";"ReginaDoherty"
"richard-boyd-barrett";"RichardBoydBarrett"
"richard-bruton";"RichardBruton"
"robert-dowds";"RobertDowds"
"robert-troy";"RobertTroy"
"ruairi-quinn";"RuairiQuinn"
"sandra-mclellan";"SandraMcLellan"
"seamus-healy";"SeamusHealy"
"seamus-kirk";"SeamusKirk"
"sean-barrett";
"sean-conlan";"SeanConlon"
"sean-crowe";"SeanCroweSF"
"sean-fleming";"SeanFleming"
"sean-kenny";"SeanKenny"
"sean-kyne";"SeanKyne"
"sean-o-fearghail";"SeanOFearghaillFF"
"sean-sherlock";"SeanSherlock"
"shane-mcentee";"ShaneMcEntee"
"shane-peter-nathaniel-ross";"ShaneRoss"
"simon-coveney";"SimonCoveney"
"simon-harris";"SimonHarris"
"stephen-donnelly";"StephenDonnelly"
"terence-flanagan";"TerenceFlanagan"
"thomas-pringle";"ThomasPringle"
"timmy-dooley";"TimDooley"
"tom-barry";"TomBarry"
"tom-fleming";"TomFleming"
"tom-hayes";"TomHayes"
"tommy-broughan";"TommyBroughan"
"tony-mcloughlin";"TonyMcLoughlin"
"willie-o-dea";"WillieODea"
"willie-penrose";
;"RoisinShortall"
